Year;Played;Win;Draw;Loss;PF;PA;Diff;BP;Points;Place;Playoffs;Champ
1996;11;8;0;3;408;354;54;9;41;1st;(defeated Sharks in final);Y
1997;11;10;1;0;435;283;152;8;50;1st;(defeated Brumbies in final);Y
1998;11;9;0;2;388;298;90;7;43;2nd;(lost to Crusaders in final);N
1999;11;4;1;6;202;201;1;5;23;9th;;N
2000;11;6;0;5;300;262;38;6;30;6th;;N
2001;11;4;0;7;243;298;?55;5;21;11th;;N
2002;11;6;0;5;318;249;69;5;29;6th;;N
2003;11;10;0;1;393;185;208;9;49;1st;(defeated Crusaders in final);Y
2004;11;6;1;4;337;309;28;6;32;5th;;N
2005;11;6;0;5;243;216;27;3;27;7th;;N
2006;13;6;0;7;290;348;?58;5;29;8th;;N
2007;13;9;0;4;355;235;120;6;42;4th;(lost to Sharks in semi-final);N
2008;13;8;0;5;354;267;87;8;40;6th;;N
2009;13;5;0;8;339;369;?30;12;32;9th;;N
2010;13;7;0;6;376;333;43;9;37;7th;;N
2011;16;10;1;5;405;335;70;10;60;4th;(lost to Reds in semi-final);N
2012;16;4;0;12;359;430;?71;8;32;12th;;N
2013;16;6;0;10;347;364;?17;12;44;10th;;N
2014;16;7;0;9;419;395;24;9;37;10th;;N
2015;16;3;0;13;282;428;?146;8;20;14th;;N
2016;15;8;1;6;374;380;?6;5;39;11th;;N
2017;15;7;1;7;425;391;34;7;37;9th;;N
2018;16;4;0;12;378;509;-131;6;22;14th;;N
2019;16;5;1;10;347;369;-22;8;30;13th;;N
