Season;Pos;Pld;W;D;L;F;A;+/-;BP;Pts;Notes;Champ
1996;12th;11;2;1;8;234;378;-144;3;13;;N
1997;6th;11;5;1;5;272;235;37;4;26;;N
1998;1st;11;8;0;3;340;260;80;9;41;Defeated the Blues in the final.;Y
1999;1st;11;7;1;3;324;262;62;3;33;Defeated the Highlanders in the final.;Y
2000;1st;11;8;0;3;369;293;76;7;39;Defeated the Brumbies in the final.;Y
2001;10th;11;4;0;7;307;331;-24;7;23;;N
2002;1st;11;11;0;0;469;264;205;7;51;Defeated the Brumbies in the final.;Y
2003;2nd;11;8;0;3;358;263;95;8;40;Lost to the Blues in the final.;N
2004;2nd;11;7;0;4;345;303;42;6;34;Lost to the Brumbies in the final.;N
2005;1st;11;9;0;2;459;281;178;8;44;Defeated the Waratahs in the final.;Y
2006;1st;13;11;1;1;412;210;202;5;51;Defeated the Hurricanes in the final.;Y
2007;3rd;13;8;0;5;382;235;147;10;42;Lost to the Bulls in the semi-final.;N
2008;1st;13;11;0;2;369;176;193;8;52;Defeated the Waratahs in the final.;Y
2009;4th;13;8;1;4;231;198;33;7;41;Lost to the Bulls in the semi-final.;N
2010;4th;13;8;1;4;388;295;93;7;41;Lost to the Bulls in the semi-final.;N
2011;2nd;16;11;1;4;436;273;163;7;65;Lost to the Reds in the final.;N
2012;4th;16;11;0;5;485;343;142;9;61;Lost to the Chiefs in the semi-final.;N
2013;4th;16;11;0;5;446;307;139;8;60;Lost to the Chiefs in the semi-final.;N
2014;2nd;16;11;0;5;445;322;123;7;51;Lost to the Waratahs in the final.;N
2015;7th;16;9;0;7;481;338;143;10;46;;N
2016;7th;15;11;0;4;487;317;170;6;50;Lost to the Lions in the quarter-final.;N
2017;1st;15;14;0;1;544;303;241;7;63;Defeated the Lions in the final.;Y
2018;1st;16;14;0;2;542;295;247;7;63;Defeated the Lions in the final.;Y
2019;1st;16;11;3;2;497;257;240;8;58;Defeated the Jaguares in the final.;Y
